tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase
18577350074045712,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,192,0,0,0,0,0,1,0,0,1
18577350074045840,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,192,0,0,0,0,0,1,0,0,1
18577350074045968,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,192,0,0,0,0,0,1,0,0,1
18577350074046096,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,192,0,0,0,0,0,1,0,0,1
18577350074046224,witnessed,vg_R.txt,,0,0,1,0,1,1,1,128,128,192,0,0,0,0,0,1,0,0,1
18577350074046352,witnessed,vg_R.txt,,0,0,1,1,1,1,1,128,128,192,0,0,0,0,0,1,0,0,1
18577350610915344,witnessed,vg_R.txt,,0,0,1,0,0,0,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610915472,witnessed,vg_R.txt,,0,0,1,1,0,0,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610915600,witnessed,vg_R.txt,,0,0,1,0,1,0,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610915728,witnessed,vg_R.txt,,0,0,1,1,1,0,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610915856,witnessed,vg_R.txt,,0,0,1,0,0,1,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610915984,witnessed,vg_R.txt,,0,0,1,1,0,1,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916112,witnessed,vg_R.txt,,0,0,1,0,1,1,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916240,witnessed,vg_R.txt,,0,0,1,1,1,1,0,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916368,witnessed,vg_R.txt,,0,0,1,0,0,0,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916496,witnessed,vg_R.txt,,0,0,1,1,0,0,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916624,witnessed,vg_R.txt,,0,0,1,0,1,0,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916752,witnessed,vg_R.txt,,0,0,1,1,1,0,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610916880,witnessed,vg_R.txt,,0,0,1,0,0,1,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610917008,witnessed,vg_R.txt,,0,0,1,1,0,1,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610917136,witnessed,vg_R.txt,,0,0,1,0,1,1,1,128,128,256,0,0,0,0,0,1,0,0,1
18577350610917264,witnessed,vg_R.txt,,0,0,1,1,1,1,1,128,128,256,0,0,0,0,0,1,0,0,1
18577351147784208,witnessed,vg_R.txt,,0,0,1,0,0,0,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147784336,witnessed,vg_R.txt,,0,0,1,1,0,0,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147784464,witnessed,vg_R.txt,,0,0,1,0,1,0,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147784592,witnessed,vg_R.txt,,0,0,1,1,1,0,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147784720,witnessed,vg_R.txt,,0,0,1,0,0,1,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147784848,witnessed,vg_R.txt,,0,0,1,1,0,1,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147784976,witnessed,vg_R.txt,,0,0,1,0,1,1,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785104,witnessed,vg_R.txt,,0,0,1,1,1,1,0,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785232,witnessed,vg_R.txt,,0,0,1,0,0,0,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785360,witnessed,vg_R.txt,,0,0,1,1,0,0,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785488,witnessed,vg_R.txt,,0,0,1,0,1,0,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785616,witnessed,vg_R.txt,,0,0,1,1,1,0,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785744,witnessed,vg_R.txt,,0,0,1,0,0,1,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147785872,witnessed,vg_R.txt,,0,0,1,1,0,1,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147786000,witnessed,vg_R.txt,,0,0,1,0,1,1,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147786128,witnessed,vg_R.txt,,0,0,1,1,1,1,1,64,128,768,0,0,0,0,0,1,0,0,1
18577351147786256,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,0,0,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147786384,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,0,0,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147786512,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,1,0,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147786640,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,1,0,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147786768,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,0,1,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147786896,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,0,1,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787024,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,1,1,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787152,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,1,1,0,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787280,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,0,0,0,1,128,128,768,0,0,0,0,0,1,0,0,1
18577351147787408,excluded,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128,"GetS1S2TemplateType's first branch is (queryType == ge::DT_FLOAT && d > NUM256), and it returns the fixed pair (NUM64, NUM128) (common_regbase.cpp:812-816). DTemplateNum is 768 exactly when !hasRope and d > NUM256 (common_regbase.cpp:847-866), and InputDType is FLOAT32 exactly when queryType is DT_FLOAT (common_regbase.cpp:1650-1651). So an fp32 key at DTemplateNum=768 has S1TemplateNum=64 and S2TemplateNum=128, and no other pair",0,0,1,1,0,0,1,128,128,768,0,0,0,0,0,1,0,0,1
