tiling_key,verdict,evidence,source_citation,dim_IsEmptyTensor,dim_SplitAxis,dim_InputDType,dim_IsTnd,dim_IsDrop,dim_IsPse,dim_IsAttenMask,dim_S1TemplateNum,dim_S2TemplateNum,dim_DTemplateNum,dim_DeterType,dim_IsNEqual,dim_IsBn2MultiBlk,dim_IsDNoEqual,dim_IsRope,dim_OutDType,dim_IsNzOut,dim_IsTndSwizzle,dim_IsRegbase,kernel_branches,tilingdata_fields
18014398509481985,witnessed,carried,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
18577349000302608,witnessed,carried,,0,0,1,0,0,0,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000302736,witnessed,carried,,0,0,1,1,0,0,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000302864,witnessed,carried,,0,0,1,0,1,0,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000302992,witnessed,carried,,0,0,1,1,1,0,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303120,witnessed,carried,,0,0,1,0,0,1,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303248,witnessed,carried,,0,0,1,1,0,1,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303376,witnessed,carried,,0,0,1,0,1,1,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303504,witnessed,carried,,0,0,1,1,1,1,0,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303632,witnessed,carried,,0,0,1,0,0,0,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303760,witnessed,carried,,0,0,1,1,0,0,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000303888,witnessed,carried,,0,0,1,0,1,0,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000304016,witnessed,carried,,0,0,1,1,1,0,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000304144,witnessed,carried,,0,0,1,0,0,1,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000304272,witnessed,carried,,0,0,1,1,0,1,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000304400,witnessed,carried,,0,0,1,0,1,1,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349000304528,witnessed,carried,,0,0,1,1,1,1,1,128,128,64,0,0,0,0,0,1,0,0,1,,
18577349537173520,witnessed,carried,,0,0,1,0,0,0,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537173648,witnessed,carried,,0,0,1,1,0,0,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537173776,witnessed,carried,,0,0,1,0,1,0,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537173904,witnessed,carried,,0,0,1,1,1,0,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174032,witnessed,carried,,0,0,1,0,0,1,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174160,witnessed,carried,,0,0,1,1,0,1,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174288,witnessed,carried,,0,0,1,0,1,1,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174416,witnessed,carried,,0,0,1,1,1,1,0,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174544,witnessed,carried,,0,0,1,0,0,0,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174672,witnessed,carried,,0,0,1,1,0,0,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174800,witnessed,carried,,0,0,1,0,1,0,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537174928,witnessed,carried,,0,0,1,1,1,0,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537175056,witnessed,carried,,0,0,1,0,0,1,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537175184,witnessed,carried,,0,0,1,1,0,1,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537175312,witnessed,carried,,0,0,1,0,1,1,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577349537175440,witnessed,carried,,0,0,1,1,1,1,1,128,128,128,0,0,0,0,0,1,0,0,1,,
18577350074044432,witnessed,carried,,0,0,1,0,0,0,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074044560,witnessed,carried,,0,0,1,1,0,0,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074044688,witnessed,carried,,0,0,1,0,1,0,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074044816,witnessed,carried,,0,0,1,1,1,0,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074044944,witnessed,carried,,0,0,1,0,0,1,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045072,witnessed,carried,,0,0,1,1,0,1,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045200,witnessed,carried,,0,0,1,0,1,1,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045328,witnessed,carried,,0,0,1,1,1,1,0,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045456,witnessed,carried,,0,0,1,0,0,0,1,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045584,witnessed,carried,,0,0,1,1,0,0,1,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045712,witnessed,carried,,0,0,1,0,1,0,1,128,128,192,0,0,0,0,0,1,0,0,1,,
18577350074045840,witnessed,carried,,0,0,1,1,1,0,1,128,128,192,0,0,0,0,0,1,0,0,1,,
