key,rules
18583948217553808,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217553936,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554064,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554192,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554320,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554448,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554576,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554704,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18583948217554832,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586145093324816,IsAttenMask=0 + DeterType=4
18586145093324944,IsAttenMask=0 + DeterType=4
18586145093325072,IsAttenMask=0 + DeterType=4
18586145093325200,IsAttenMask=0 + DeterType=4
18586145093325328,IsAttenMask=0 + DeterType=4
18586145093325456,IsAttenMask=0 + DeterType=4
18586145093325584,IsAttenMask=0 + DeterType=4
18586145093325712,IsAttenMask=0 + DeterType=4
18586145630195728,IsAttenMask=0 + DeterType=4
18586145630195856,IsAttenMask=0 + DeterType=4
18586145630195984,IsAttenMask=0 + DeterType=4
18586145630196112,IsAttenMask=0 + DeterType=4
18586145630196240,IsAttenMask=0 + DeterType=4
18586145630196368,IsAttenMask=0 + DeterType=4
18586145630196496,IsAttenMask=0 + DeterType=4
18586145630196624,IsAttenMask=0 + DeterType=4
18586146167066640,IsAttenMask=0 + DeterType=4
18586146167066768,IsAttenMask=0 + DeterType=4
18586146167066896,IsAttenMask=0 + DeterType=4
18586146167067024,IsAttenMask=0 + DeterType=4
18586146167067152,IsAttenMask=0 + DeterType=4
18586146167067280,IsAttenMask=0 + DeterType=4
18586146167067408,IsAttenMask=0 + DeterType=4
18586146167067536,IsAttenMask=0 + DeterType=4
18586146703937552,IsAttenMask=0 + DeterType=4
18586146703937680,IsAttenMask=0 + DeterType=4
18586146703937808,IsAttenMask=0 + DeterType=4
18586146703937936,IsAttenMask=0 + DeterType=4
18586146703938064,IsAttenMask=0 + DeterType=4
18586146703938192,IsAttenMask=0 + DeterType=4
18586146703938320,IsAttenMask=0 + DeterType=4
18586146703938448,IsAttenMask=0 + DeterType=4
18586147240806416,IsAttenMask=0 + DeterType=4
18586147240806544,IsAttenMask=0 + DeterType=4
18586147240806672,IsAttenMask=0 + DeterType=4
18586147240806800,IsAttenMask=0 + DeterType=4
18586147240806928,IsAttenMask=0 + DeterType=4
18586147240807056,IsAttenMask=0 + DeterType=4
18586147240807184,IsAttenMask=0 + DeterType=4
18586147240807312,IsAttenMask=0 + DeterType=4
18586147240808464,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240808592,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240808720,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240808848,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240808976,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809104,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809232,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809360,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809488,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809616,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809744,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240809872,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240810000,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240810128,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240810256,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18586147240810384,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386192,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386320,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386448,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386576,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386704,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386832,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566386960,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387088,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387216,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387344,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387472,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387600,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387728,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387856,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566387984,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18616933566388112,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619130442158096,IsAttenMask=0 + DeterType=3
18619130442158224,IsAttenMask=0 + DeterType=3
18619130442158352,IsAttenMask=0 + DeterType=3
18619130442158480,IsAttenMask=0 + DeterType=3
18619130442158608,IsAttenMask=0 + DeterType=3
18619130442158736,IsAttenMask=0 + DeterType=3
18619130442158864,IsAttenMask=0 + DeterType=3
18619130442158992,IsAttenMask=0 + DeterType=3
18619130979029008,IsAttenMask=0 + DeterType=3
18619130979029136,IsAttenMask=0 + DeterType=3
18619130979029264,IsAttenMask=0 + DeterType=3
18619130979029392,IsAttenMask=0 + DeterType=3
18619130979029520,IsAttenMask=0 + DeterType=3
18619130979029648,IsAttenMask=0 + DeterType=3
18619130979029776,IsAttenMask=0 + DeterType=3
18619130979029904,IsAttenMask=0 + DeterType=3
18619131515899920,IsAttenMask=0 + DeterType=3
18619131515900048,IsAttenMask=0 + DeterType=3
18619131515900176,IsAttenMask=0 + DeterType=3
18619131515900304,IsAttenMask=0 + DeterType=3
18619131515900432,IsAttenMask=0 + DeterType=3
18619131515900560,IsAttenMask=0 + DeterType=3
18619131515900688,IsAttenMask=0 + DeterType=3
18619131515900816,IsAttenMask=0 + DeterType=3
18619132052770832,IsAttenMask=0 + DeterType=3
18619132052770960,IsAttenMask=0 + DeterType=3
18619132052771088,IsAttenMask=0 + DeterType=3
18619132052771216,IsAttenMask=0 + DeterType=3
18619132052771344,IsAttenMask=0 + DeterType=3
18619132052771472,IsAttenMask=0 + DeterType=3
18619132052771600,IsAttenMask=0 + DeterType=3
18619132052771728,IsAttenMask=0 + DeterType=3
18619132589639696,IsAttenMask=0 + DeterType=3
18619132589639824,IsAttenMask=0 + DeterType=3
18619132589639952,IsAttenMask=0 + DeterType=3
18619132589640080,IsAttenMask=0 + DeterType=3
18619132589640208,IsAttenMask=0 + DeterType=3
18619132589640336,IsAttenMask=0 + DeterType=3
18619132589640464,IsAttenMask=0 + DeterType=3
18619132589640592,IsAttenMask=0 + DeterType=3
18619132589641744,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589641872,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642000,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642128,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642256,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642384,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642512,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642640,IsAttenMask=0 + DeterType=3 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642768,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589642896,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589643024,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589643152,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589643280,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589643408,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589643536,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18619132589643664,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621329465413648,IsAttenMask=0 + DeterType=4
18621329465413776,IsAttenMask=0 + DeterType=4
18621329465413904,IsAttenMask=0 + DeterType=4
18621329465414032,IsAttenMask=0 + DeterType=4
18621329465414160,IsAttenMask=0 + DeterType=4
18621329465414288,IsAttenMask=0 + DeterType=4
18621329465414416,IsAttenMask=0 + DeterType=4
18621329465414544,IsAttenMask=0 + DeterType=4
18621330002284560,IsAttenMask=0 + DeterType=4
18621330002284688,IsAttenMask=0 + DeterType=4
18621330002284816,IsAttenMask=0 + DeterType=4
18621330002284944,IsAttenMask=0 + DeterType=4
18621330002285072,IsAttenMask=0 + DeterType=4
18621330002285200,IsAttenMask=0 + DeterType=4
18621330002285328,IsAttenMask=0 + DeterType=4
18621330002285456,IsAttenMask=0 + DeterType=4
18621330539155472,IsAttenMask=0 + DeterType=4
18621330539155600,IsAttenMask=0 + DeterType=4
18621330539155728,IsAttenMask=0 + DeterType=4
18621330539155856,IsAttenMask=0 + DeterType=4
18621330539155984,IsAttenMask=0 + DeterType=4
18621330539156112,IsAttenMask=0 + DeterType=4
18621330539156240,IsAttenMask=0 + DeterType=4
18621330539156368,IsAttenMask=0 + DeterType=4
18621331076026384,IsAttenMask=0 + DeterType=4
18621331076026512,IsAttenMask=0 + DeterType=4
18621331076026640,IsAttenMask=0 + DeterType=4
18621331076026768,IsAttenMask=0 + DeterType=4
18621331076026896,IsAttenMask=0 + DeterType=4
18621331076027024,IsAttenMask=0 + DeterType=4
18621331076027152,IsAttenMask=0 + DeterType=4
18621331076027280,IsAttenMask=0 + DeterType=4
18621331612895248,IsAttenMask=0 + DeterType=4
18621331612895376,IsAttenMask=0 + DeterType=4
18621331612895504,IsAttenMask=0 + DeterType=4
18621331612895632,IsAttenMask=0 + DeterType=4
18621331612895760,IsAttenMask=0 + DeterType=4
18621331612895888,IsAttenMask=0 + DeterType=4
18621331612896016,IsAttenMask=0 + DeterType=4
18621331612896144,IsAttenMask=0 + DeterType=4
18621331612897296,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612897424,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612897552,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612897680,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612897808,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612897936,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898064,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898192,IsAttenMask=0 + DeterType=4 | InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898320,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898448,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898576,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898704,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898832,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612898960,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612899088,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18621331612899216,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636141584,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
18718088636141712,InputDType=1 + DTemplateNum=768 + S1TemplateNum=128
